fixture,method,nbiter,p,gram_det,sign_error
blobs_connected_2000,2il,8,50,9.996378e-1,1.928743e-3
blobs_connected_2000,2il,8,100,9.999822e-1,3.413279e-4
blobs_connected_2000,2il,10,20,9.992985e-1,2.289290e-3
blobs_connected_2000,2il,10,30,9.994691e-1,2.153538e-3
blobs_connected_2000,2il,10,50,9.999489e-1,7.846653e-4
blobs_connected_2000,2il,10,100,1.000000e0,0.000000e0
blobs_connected_2000,direct_l,8,50,9.996378e-1,1.928743e-3
blobs_connected_2000,direct_l,8,100,9.999822e-1,3.413279e-4
blobs_connected_2000,direct_l,10,20,9.992985e-1,2.289290e-3
blobs_connected_2000,direct_l,10,30,9.994691e-1,2.153538e-3
blobs_connected_2000,direct_l,10,50,9.999489e-1,7.846653e-4
blobs_connected_2000,direct_l,10,100,1.000000e0,0.000000e0
